	Threshold	True-pos-baseline	True-pos-call	False-pos	False-neg	Precision	Sensitivity	F-measure	sample_name	platform
0	2.000	3533845	3533845	304005	412969	0.9208	0.8954	0.9079	4249-JW-10	dragen
0	1.000	3613773	3613773	291013	333041	0.9255	0.9156	0.9205	4249-JW-14	dragen
0	1.000	3529715	3529715	285187	417099	0.9252	0.8943	0.9095	4249-JW-16	dragen
0	2.000	3575453	3575453	290864	371361	0.9248	0.9059	0.9152	4249-JW-17	dragen
0	2.000	3669511	3669511	300840	277303	0.9242	0.9297	0.927	4249-JW-18	dragen
0	2.000	3634659	3634659	316158	312155	0.92	0.9209	0.9204	4249-JW-19	dragen
0	2.000	3273458	3273458	294481	673356	0.9175	0.8294	0.8712	4249-JW-23	dragen
0	2.000	3655618	3655618	332261	291196	0.9167	0.9262	0.9214	4249-JW-25	dragen
0	1.000	3399462	3399462	318885	547352	0.9142	0.8613	0.887	4249-JW-27	dragen
0	2.000	3376201	3376201	305849	570613	0.9169	0.8554	0.8851	4249-JW-30	dragen
0	2.000	3351968	3351968	311151	594846	0.9151	0.8493	0.8809	4249-JW-32	dragen
0	2.000	2799309	2799309	296607	1147505	0.9042	0.7093	0.7949	4249-JW-36	dragen
0	2.000	3544791	3544791	316818	402023	0.918	0.8981	0.9079	4249-JW-38	dragen
0	2.000	3546984	3546984	332533	399830	0.9143	0.8987	0.9064	4249-JW-40	dragen
0	2.000	3585443	3585443	285873	361371	0.9262	0.9084	0.9172	4249-JW-42	dragen
0	2.000	3481051	3481051	297622	465763	0.9212	0.882	0.9012	4249-JW-43	dragen
0	1.000	3946790	3946790	0	24	1.0	1.0	1.0	NA12878_Bulk2	dragen
0	-8.433	3355365	3355365	109272	365392	0.9685	0.9018	0.9339	4249-JW-10	sentieon
0	-8.433	3435685	3435685	107724	285072	0.9696	0.9234	0.9459	4249-JW-14	sentieon
0	-8.433	3289930	3289930	109963	430827	0.9677	0.8842	0.9241	4249-JW-16	sentieon
0	-8.433	3331398	3331398	108000	389359	0.9686	0.8954	0.9305	4249-JW-17	sentieon
0	-8.433	3426808	3426808	110698	293949	0.9687	0.921	0.9443	4249-JW-18	sentieon
0	-8.433	3448495	3448495	112863	272262	0.9683	0.9268	0.9471	4249-JW-19	sentieon
0	-8.433	3098584	3098584	106154	622173	0.9669	0.8328	0.8948	4249-JW-23	sentieon
0	-8.433	3478075	3478075	109762	242682	0.9694	0.9348	0.9518	4249-JW-25	sentieon
0	-8.433	3220640	3220640	105712	500117	0.9682	0.8656	0.914	4249-JW-27	sentieon
0	-8.433	3203729	3203729	103566	517028	0.9687	0.861	0.9117	4249-JW-30	sentieon
0	-8.433	3174355	3174355	105294	546402	0.9679	0.8531	0.9069	4249-JW-32	sentieon
0	-8.433	2635201	2635201	98696	1085556	0.9639	0.7082	0.8165	4249-JW-36	sentieon
0	-8.433	3367233	3367233	104298	353524	0.97	0.905	0.9363	4249-JW-38	sentieon
0	-8.433	3364326	3364326	108934	356431	0.9686	0.9042	0.9353	4249-JW-40	sentieon
0	-8.433	3365901	3365901	108734	354856	0.9687	0.9046	0.9356	4249-JW-42	sentieon
0	-8.433	3259297	3259297	108073	461460	0.9679	0.876	0.9196	4249-JW-43	sentieon
0	-8.433	3720757	3720757	0	0	1.0	1.0	1.0	NA12878_Bulk2	sentieon
0	-4.324	3213852	3213852	142639	335394	0.9575	0.9055	0.9308	4249-JW-10	gatk
0	-4.261	3293147	3293147	145721	256099	0.9576	0.9278	0.9425	4249-JW-14	gatk
0	-4.261	3137422	3137422	140275	411824	0.9572	0.884	0.9191	4249-JW-16	gatk
0	-4.324	3187806	3187806	143789	361440	0.9568	0.8982	0.9266	4249-JW-17	gatk
0	-4.346	3280976	3280976	145288	268270	0.9576	0.9244	0.9407	4249-JW-18	gatk
0	-4.324	3303278	3303278	148482	245968	0.957	0.9307	0.9437	4249-JW-19	gatk
0	-4.324	2965393	2965393	134750	583853	0.9565	0.8355	0.8919	4249-JW-23	gatk
0	-4.336	3331580	3331580	144317	217666	0.9585	0.9387	0.9485	4249-JW-25	gatk
0	-4.346	3081392	3081392	137673	467854	0.9572	0.8682	0.9105	4249-JW-27	gatk
0	-4.346	3067269	3067269	134858	481977	0.9579	0.8642	0.9086	4249-JW-30	gatk
0	-4.324	3038415	3038415	135384	510831	0.9573	0.8561	0.9039	4249-JW-32	gatk
0	-4.324	2517592	2517592	120820	1031654	0.9542	0.7093	0.8137	4249-JW-36	gatk
0	-4.346	3227307	3227307	139094	321939	0.9587	0.9093	0.9333	4249-JW-38	gatk
0	-4.346	3223248	3223248	142771	325998	0.9576	0.9082	0.9322	4249-JW-40	gatk
0	-4.346	3221916	3221916	142254	327330	0.9577	0.9078	0.9321	4249-JW-42	gatk
0	-4.346	3120195	3120195	139419	429051	0.9572	0.8791	0.9165	4249-JW-43	gatk
0	-5.075	3537495	3537495	0	11751	1.0	0.9967	0.9983	NA12878_Bulk2	gatk
