	Threshold	True-pos-baseline	True-pos-call	False-pos	False-neg	Precision	Sensitivity	F-measure	sample_name	platform
0	2.000	3546599	3546599	347565	420006	0.9107	0.8941	0.9024	4249-JW-10	dragen
0	1.000	3626387	3626387	334234	340218	0.9156	0.9142	0.9149	4249-JW-14	dragen
0	1.000	3542927	3542927	332407	423678	0.9142	0.8932	0.9036	4249-JW-16	dragen
0	2.000	3588275	3588275	335527	378330	0.9145	0.9046	0.9095	4249-JW-17	dragen
0	2.000	3682408	3682408	346633	284197	0.914	0.9284	0.9211	4249-JW-18	dragen
0	2.000	3647553	3647553	361201	319052	0.9099	0.9196	0.9147	4249-JW-19	dragen
0	2.000	3286225	3286225	337338	680380	0.9069	0.8285	0.8659	4249-JW-23	dragen
0	2.000	3668380	3668380	377027	298225	0.9068	0.9248	0.9157	4249-JW-25	dragen
0	1.000	3411553	3411553	361982	555052	0.9041	0.8601	0.8815	4249-JW-27	dragen
0	2.000	3388501	3388501	346252	578104	0.9073	0.8543	0.88	4249-JW-30	dragen
0	2.000	3364348	3364348	354506	602257	0.9047	0.8482	0.8755	4249-JW-32	dragen
0	2.000	2811528	2811528	336080	1155077	0.8932	0.7088	0.7904	4249-JW-36	dragen
0	2.000	3557050	3557050	357290	409555	0.9087	0.8967	0.9027	4249-JW-38	dragen
0	2.000	3559592	3559592	375591	407013	0.9046	0.8974	0.901	4249-JW-40	dragen
0	2.000	3597660	3597660	327864	368945	0.9165	0.907	0.9117	4249-JW-42	dragen
0	0.000	3358916	3358916	138855	367586	0.9603	0.9014	0.9299	4249-JW-10	sentieon
0	0.000	3439110	3439110	136046	287392	0.9619	0.9229	0.942	4249-JW-14	sentieon
0	0.000	3293773	3293773	141898	432729	0.9587	0.8839	0.9198	4249-JW-16	sentieon
0	0.000	3334826	3334826	135865	391676	0.9609	0.8949	0.9267	4249-JW-17	sentieon
0	0.000	3430356	3430356	140260	296146	0.9607	0.9205	0.9402	4249-JW-18	sentieon
0	0.000	3452128	3452128	143713	274374	0.96	0.9264	0.9429	4249-JW-19	sentieon
0	0.000	3102163	3102163	135977	624339	0.958	0.8325	0.8908	4249-JW-23	sentieon
0	0.000	3481632	3481632	140260	244870	0.9613	0.9343	0.9476	4249-JW-25	sentieon
0	0.000	3223978	3223978	134398	502524	0.96	0.8651	0.9101	4249-JW-27	sentieon
0	0.000	3207188	3207188	129787	519314	0.9611	0.8606	0.9081	4249-JW-30	sentieon
0	0.000	3177816	3177816	135403	548686	0.9591	0.8528	0.9028	4249-JW-32	sentieon
0	0.000	2638582	2638582	125131	1087920	0.9547	0.7081	0.8131	4249-JW-36	sentieon
0	0.000	3370556	3370556	130773	355946	0.9627	0.9045	0.9327	4249-JW-38	sentieon
0	0.000	3367749	3367749	137560	358753	0.9608	0.9037	0.9314	4249-JW-40	sentieon
0	0.000	3369265	3369265	135967	357237	0.9612	0.9041	0.9318	4249-JW-42	sentieon
0	0.000	3262651	3262651	136190	463851	0.9599	0.8755	0.9158	4249-JW-43	sentieon
0	0.000	3220138	3220138	144497	329108	0.9571	0.9073	0.9315	4249-JW-10	gatk
0	0.000	3300367	3300367	148381	248879	0.957	0.9299	0.9432	4249-JW-14	gatk
0	0.000	3144169	3144169	143070	405077	0.9565	0.8859	0.9198	4249-JW-16	gatk
0	0.000	3194543	3194543	146724	354703	0.9561	0.9001	0.9272	4249-JW-17	gatk
0	0.000	3287886	3287886	148187	261360	0.9569	0.9264	0.9414	4249-JW-18	gatk
0	0.000	3310365	3310365	151675	238881	0.9562	0.9327	0.9443	4249-JW-19	gatk
0	0.000	2971984	2971984	137812	577262	0.9557	0.8374	0.8926	4249-JW-23	gatk
0	0.000	3338924	3338924	147435	210322	0.9577	0.9407	0.9492	4249-JW-25	gatk
0	0.000	3088203	3088203	140696	461043	0.9564	0.8701	0.9112	4249-JW-27	gatk
0	0.000	3074302	3074302	138037	474944	0.957	0.8662	0.9093	4249-JW-30	gatk
0	0.000	3045316	3045316	138418	503930	0.9565	0.858	0.9046	4249-JW-32	gatk
0	0.000	2523219	2523219	123575	1026027	0.9533	0.7109	0.8145	4249-JW-36	gatk
0	0.000	3234343	3234343	142152	314903	0.9579	0.9113	0.934	4249-JW-38	gatk
0	0.000	3230325	3230325	145990	318921	0.9568	0.9101	0.9329	4249-JW-40	gatk
0	0.000	3228934	3228934	145335	320312	0.9569	0.9098	0.9327	4249-JW-42	gatk
0	0.000	3126855	3126855	142455	422391	0.9564	0.881	0.9172	4249-JW-43	gatk
