	Threshold	True-pos-baseline	True-pos-call	False-pos	False-neg	Precision	Sensitivity	F-measure	sample_name	platform
1	None	2890792	2890754	947599	728679	0.7531	0.7987	0.7752	4249-JW-10	dragen
1	None	2956463	2956426	948866	663008	0.757	0.8168	0.7858	4249-JW-14	dragen
1	None	2887412	2887374	928012	732059	0.7568	0.7977	0.7767	4249-JW-16	dragen
1	None	2918886	2918857	948085	700585	0.7548	0.8064	0.7798	4249-JW-17	dragen
1	None	2999233	2999200	971792	620238	0.7553	0.8286	0.7903	4249-JW-18	dragen
1	None	2972312	2972274	979068	647159	0.7522	0.8212	0.7852	4249-JW-19	dragen
1	None	2668004	2667967	900548	951467	0.7476	0.7371	0.7423	4249-JW-23	dragen
1	None	2996862	2996818	991578	622609	0.7514	0.828	0.7878	4249-JW-25	dragen
1	None	2780062	2780031	938845	839409	0.7475	0.7681	0.7577	4249-JW-27	dragen
1	None	2760285	2760250	922241	859186	0.7496	0.7626	0.756	4249-JW-30	dragen
1	None	2738029	2737998	925548	881442	0.7474	0.7565	0.7519	4249-JW-32	dragen
1	None	2282538	2282507	813870	1336933	0.7372	0.6306	0.6797	4249-JW-36	dragen
1	None	2906935	2906899	955167	712536	0.7527	0.8031	0.7771	4249-JW-38	dragen
1	None	2909087	2909046	970968	710384	0.7498	0.8037	0.7758	4249-JW-40	dragen
1	None	2935634	2935599	936298	683837	0.7582	0.8111	0.7837	4249-JW-42	dragen
1	None	2847231	2847196	932107	772240	0.7534	0.7866	0.7696	4249-JW-43	dragen
1	None	3056563	3056524	890290	562908	0.7744	0.8445	0.8079	NA12878_Bulk2	dragen
1	None	2842006	2841970	622667	777465	0.8203	0.7852	0.8024	4249-JW-10	sentieon
1	None	2907420	2907386	636023	712051	0.8205	0.8033	0.8118	4249-JW-14	sentieon
1	None	2788006	2787973	611920	831465	0.82	0.7703	0.7944	4249-JW-16	sentieon
1	None	2822506	2822475	616923	796965	0.8206	0.7798	0.7997	4249-JW-17	sentieon
1	None	2906151	2906114	631392	713320	0.8215	0.8029	0.8121	4249-JW-18	sentieon
1	None	2920740	2920707	640651	698731	0.8201	0.807	0.8135	4249-JW-19	sentieon
1	None	2617020	2616988	587750	1002451	0.8166	0.723	0.767	4249-JW-23	sentieon
1	None	2948151	2948115	639722	671320	0.8217	0.8145	0.8181	4249-JW-25	sentieon
1	None	2725349	2725318	601034	894122	0.8193	0.753	0.7847	4249-JW-27	sentieon
1	None	2710032	2710002	597293	909439	0.8194	0.7487	0.7825	4249-JW-30	sentieon
1	None	2684973	2684941	594708	934498	0.8187	0.7418	0.7783	4249-JW-32	sentieon
1	None	2229418	2229385	504512	1390053	0.8155	0.616	0.7018	4249-JW-36	sentieon
1	None	2854640	2854605	616926	764831	0.8223	0.7887	0.8051	4249-JW-38	sentieon
1	None	2853888	2853854	619406	765583	0.8217	0.7885	0.8047	4249-JW-40	sentieon
1	None	2855087	2855051	619584	764384	0.8217	0.7888	0.8049	4249-JW-42	sentieon
1	None	2767191	2767158	600212	852280	0.8218	0.7645	0.7921	4249-JW-43	sentieon
1	None	3047523	3047483	673274	571948	0.819	0.842	0.8304	NA12878_Bulk2	sentieon
1	None	2806264	2806229	558406	813207	0.834	0.7753	0.8036	4249-JW-10	gatk
1	None	2872912	2872878	575870	746559	0.833	0.7937	0.8129	4249-JW-14	gatk
1	None	2742167	2742135	545104	877304	0.8342	0.7576	0.7941	4249-JW-16	gatk
1	None	2784948	2784915	556352	834523	0.8335	0.7694	0.8002	4249-JW-17	gatk
1	None	2868277	2868246	567827	751194	0.8347	0.7925	0.8131	4249-JW-18	gatk
1	None	2884808	2884774	577266	734663	0.8333	0.797	0.8147	4249-JW-19	gatk
1	None	2583926	2583901	525895	1035545	0.8309	0.7139	0.768	4249-JW-23	gatk
1	None	2911471	2911433	574926	708000	0.8351	0.8044	0.8195	4249-JW-25	gatk
1	None	2689722	2689689	539210	929749	0.833	0.7431	0.7855	4249-JW-27	gatk
1	None	2675908	2675875	536464	943563	0.833	0.7393	0.7834	4249-JW-30	gatk
1	None	2650764	2650733	533001	968707	0.8326	0.7324	0.7793	4249-JW-32	gatk
1	None	2198602	2198573	448221	1420869	0.8307	0.6074	0.7017	4249-JW-36	gatk
1	None	2819254	2819219	557276	800217	0.835	0.7789	0.806	4249-JW-38	gatk
1	None	2818749	2818714	557601	800722	0.8348	0.7788	0.8058	4249-JW-40	gatk
1	None	2818238	2818210	556059	801233	0.8352	0.7786	0.8059	4249-JW-42	gatk
1	None	2731382	2731350	537960	888089	0.8355	0.7546	0.793	4249-JW-43	gatk
1	None	2975615	2975573	573673	643856	0.8384	0.8221	0.8302	NA12878_Bulk2	gatk
